foxf1_normalized	bmp4_normalized
0.287686	0.048751
0.190021	0.062047
0.168790	0.045729
0.255839	0.050967
0.282378	0.072119
0.228238	0.040089
0.179406	0.045729
0.247346	0.045931
0.131635	0.040089
0.251592	0.037067
0.158174	0.057413
0.287686	0.037470
0.238854	0.061039
0.347134	0.046535
0.277070	0.043312
0.113588	0.033642
0.274947	0.050363
0.098726	0.045729
0.270701	0.054795
0.249469	0.046938
0.198514	0.054795
0.288747	0.043715
0.361996	0.047341
0.102972	0.029815
0.283439	0.028606
0.284501	0.042707
0.201699	0.042506
0.288747	0.071716
0.140127	0.074940
0.353503	0.076148
0.146497	0.071918
0.267516	0.092466
0.323779	0.107373
0.254777	0.084206
0.202760	0.078969
0.234607	0.075745
0.271762	0.057816
0.294055	0.050161
0.214437	0.043715
0.436306	0.053586
0.402335	0.060234
0.349257	0.044722
0.197452	0.051773
0.301486	0.053787
0.282378	0.043513
0.259023	0.044722
0.238854	0.027800
0.197452	0.029210
0.231423	0.021152
0.113588	0.024778
0.190021	0.051571
0.343949	0.034247
0.193206	0.015109
0.230361	0.011080
0.225053	0.026994
0.311040	0.020145
0.173036	0.028606
0.244161	0.031426
0.280255	0.021757
0.111465	0.015713
0.174098	0.026390
0.221868	0.027599
0.185775	0.021354
0.272824	0.009468
0.193206	0.015713
0.238854	0.009670
0.199575	0.015713
0.185775	0.012893
0.212314	0.006648
0.122081	0.004029
0.207006	0.002417
0.156051	0.003223
0.121019	0.013296
0.264331	0.026189
0.229299	0.036261
0.124204	0.033441
0.166667	0.036261
0.132696	0.031829
0.162420	0.026591
0.161359	0.030620
0.183652	0.018735
0.196391	0.005036
0.185775	0.016922
0.191083	0.018332
0.211253	0.012288
0.234607	0.014706
0.025478	0.017929
0.247346	0.041096
0.230361	0.034448
0.311040	0.018735
0.163482	0.038678
0.116773	0.022160
0.144374	0.033844
0.160297	0.016519
0.166667	0.024577
0.233546	0.038880
0.194268	0.026994
0.167728	0.035657
0.067941	0.026793
0.161359	0.033239
0.090234	0.023570
0.118896	0.017728
0.186837	0.025584
0.268577	0.029613
0.276008	0.021354
0.195329	0.017325
0.218684	0.021958
0.167728	0.022160
0.262208	0.027397
0.143312	0.019742
0.221868	0.038276
0.283439	0.037873
0.228238	0.053384
0.133758	0.021555
0.199575	0.031829
0.128450	0.025987
0.285563	0.029412
0.250531	0.028405
0.169851	0.047945
0.222930	0.027196
0.098726	0.029210
0.102972	0.036261
0.256900	0.044521
0.205945	0.042909
0.148620	0.057010
0.250531	0.042909
0.314225	0.046535
0.146497	0.047139
0.128450	0.025987
0.176221	0.036463
0.246285	0.019944
0.154989	0.018936
0.097665	0.026994
0.181529	0.020951
0.234607	0.026591
0.349257	0.039686
0.347134	0.013296
0.091295	0.026793
0.196391	0.031225
0.307856	0.036261
0.239915	0.043916
0.203822	0.043312
0.101911	0.033239
0.196391	0.042305
0.193206	0.039887
